College Name,Undergraduate Pop.,Admit Rate
Liceo de Arte y Tecnologia,1097,open admission
Liceo de Arte-Dise-O y Comercio,197,open admission
Life Chiropractic College West,0,not reported
Life Pacific College,520,97%
Life University,755,69%
Lil Lou's Beauty and Barber College LLC,85,open admission
Lil Lou's Beauty and Barber College-Portage,38,open admission
LIM College,1427,93%
Limestone College,2597,50%
Lincoln Christian University,466,62%
Lincoln College,1121,57%
Lincoln College of New England-Southington,465,open admission
Lincoln College of Technology-Columbia,569,open admission
Lincoln College of Technology-Denver,916,open admission
Lincoln College of Technology-Grand Prairie,898,open admission
Lincoln College of Technology-Indianapolis,792,open admission
Lincoln College of Technology-Marietta,286,open admission
Lincoln College of Technology-Melrose Park,719,open admission
Lincoln College of Technology-Nashville,1495,open admission
-9999,-9999,-9999
Lincoln Land Community College,6259,open admission
Lincoln Law School of Sacramento,-9999,not reported
Lincoln Memorial University,1919,65%
Lincoln Technical Institute-Allentown,444,open admission
Lincoln Technical Institute-Brockton,136,open admission
-9999,-9999,-9999
Lincoln Technical Institute-East Windsor,825,open admission
Lincoln Technical Institute-Iselin,380,open admission
Lincoln Technical Institute-Lincoln,584,open admission
Lincoln Technical Institute-Lowell,85,open admission
Lincoln Technical Institute-Mahwah,865,open admission
Lincoln Technical Institute-Moorestown,528,open admission
Lincoln Technical Institute-New Britain,465,open admission
-9999,-9999,-9999
Lincoln Technical Institute-Paramus,500,open admission
Lincoln Technical Institute-Philadelphia,246,open admission
Lincoln Technical Institute-Shelton,587,open admission
Lincoln Technical Institute-Somerville,272,open admission
Lincoln Technical Institute-South Plainfield,308,open admission
Lincoln Technical Institute-Union,1224,open admission
Lincoln Technical Institute-Whitestone,587,open admission
Lincoln Trail College,933,open admission
Lincoln University,2512,open admission
Lincoln University,107,open admission
Lincoln University,2002,80%
Lindenwood University,6928,74%
Lindsey Hopkins Technical College,646,open admission
Lindsey Institute of Cosmetology,55,open admission
Lindsey Wilson College,2068,open admission
Linfield College-McMinnville Campus,1535,81%
Linfield College-Online and Continuing Education,261,not reported
Linfield College-School of Nursing,344,not reported
Linn-Benton Community College,5830,open admission
Lipscomb University,2987,60%
Little Big Horn College,243,open admission
Little Priest Tribal College,141,open admission
LIU Brentwood,1,not reported
LIU Brooklyn,3945,84%
-9999,-9999,-9999
LIU Hudson at Westchester,0,not reported
LIU Post,6316,83%
LIU Riverhead,28,not reported
-9999,-9999,-9999
Lively Technical Center,883,open admission
Living Arts College,263,83%
Livingstone College,1150,37%
Lock Haven University,3472,89%
Logan University,126,100%
Loma Linda University,1183,not reported
Lone Star College System,72336,open admission
Long Beach City College,24658,open admission
Long Island Barber Institute,44,open admission
Long Island Beauty School-Hauppauge,198,open admission
Long Island Beauty School-Hempstead,93,open admission
Long Island Business Institute,717,79%
Long Island Nail & Skin Care Institute,135,open admission
Longwood University,4472,92%
Longy School of Music of Bard College,46,93%
Lorain County Community College,11042,open admission
Lorain County Joint Vocational School District,113,open admission
Loraines Academy & Spa,113,open admission
Loras College,1397,95%
Lord Fairfax Community College,6891,open admission
Lorenzo Walker Technical College,666,open admission
Los Angeles Academy of Figurative Art,14,open admission
Los Angeles City College,13827,open admission
Los Angeles College of Music,235,open admission
-9999,-9999,-9999
Los Angeles County College of Nursing and Allied Health,208,not reported
Los Angeles Film School,3653,open admission
Los Angeles Harbor College,8861,open admission
Los Angeles Mission College,9765,open admission
Los Angeles ORT College-Los Angeles Campus,164,open admission
Los Angeles ORT College-Van Nuys Campus,291,open admission
Los Angeles Pierce College,17655,open admission
Los Angeles Southwest College,5848,open admission
Los Angeles Trade Technical College,12984,open admission
Los Angeles Valley College,15648,open admission
Los Medanos College,9048,open admission
-9999,-9999,-9999
Louisburg College,624,81%
Louisiana Academy of Beauty,47,open admission
Louisiana College,987,72%
Louisiana Culinary Institute,179,46%
Louisiana Delta Community College,3666,open admission
Louisiana State University and Agricultural & Mechanical College,25444,74%
Louisiana State University Health Sciences Center-New Orleans,921,not reported
Louisiana State University Health Sciences Center-Shreveport,28,not reported
Louisiana State University-Alexandria,3372,31%
Louisiana State University-Eunice,3044,open admission
Louisiana State University-Shreveport,2638,84%
Louisiana Tech University,11328,65%
Louisville Presbyterian Theological Seminary,0,not reported
Lourdes University,1044,97%
Love Beauty School Inc,67,open admission
Lowell Academy Hairstyling Institute,92,open admission
Lower Columbia College,2935,open admission
Loyola Marymount University,6391,52%
Loyola University Chicago,11420,71%
Loyola University Maryland,3924,75%
Loyola University New Orleans,2602,69%
Lu Ross Academy,217,open admission
Lubbock Christian University,1484,94%
Lubbock Hair Academy,45,open admission
Luckes Beauty Academy LLC,32,open admission
Luna Community College,1356,open admission
Lurleen B Wallace Community College,1838,open admission
Luther College,2053,65%
Luther Rice College & Seminary,312,55%
Luther Seminary,0,not reported
Lutheran School of Nursing,212,100%
Lutheran School of Theology at Chicago,0,not reported
-9999,-9999,-9999
Luzerne County Community College,5360,open admission
Lycoming College,1217,64%
Lyle's College of  Beauty,69,open admission
Lyle's College of Beauty,70,open admission
University of Lynchburg,2050,75%
Lyndon State College,1071,97%
Lynn University,2204,85%
Lynnes Welding Training,23,open admission
Lyon College,672,64%
Lytles Redwood Empire Beauty College Inc,158,100%
M J Murphy Beauty College of Mount Pleasant,38,open admission
M T Training Center,97,open admission
M-DCPS The English Center,199,open admission
Macalester College,2136,41%
MacCormac College,278,open admission
Machzikei Hadath Rabbinical College,146,83%
MacMurray College,521,60%
Macomb Community College,21014,open admission
Madison Adult Career Center,124,open admission
Madison Area Technical College,15366,open admission
Madison Media Institute,111,open admission
Madison Media Institute-Rockford Career College,465,open admission
Madison Oneida BOCES-Practical Nursing Program,42,60%
Madisonville Community College,3404,open admission
Madonna University,2456,74%
Magnolia College of Cosmetology,139,open admission
Maharishi University of Management,324,89%
Mahoning County Career and Technical Center,97,open admission
Maine College of Art,459,68%
Maine College of Health Professions,188,82%
Maine Maritime Academy,1018,80%
MAK Beauty Institute,10,open admission
Make-up Designory,384,open admission
Malone University,1333,66%
Manatee Technical College,803,open admission
Manchester Community College,6321,open admission
Manchester Community College,2766,open admission
Manchester University,1266,61%
Mandalyn Academy,87,open admission
Mandl School-The College of Allied Health,598,open admission
Manhattan Area Technical College,922,open admission
Manhattan Christian College,282,64%
Manhattan College,3664,75%
Manhattan Institute,634,open admission
